Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
FABP7	0	4	0	0.05063291139240506	1.3504032470553178	0.2452076329916599	1	-0.11456812324418053	0.013302300459370413	2-sample test for equality of proportions with continuity correction	two.sided
FABP9	6	13	0.1111111111111111	0.16455696202531644	0.37541998749804656	0.5400646318430793	1	-0.18612820284121862	0.07923650101280794	2-sample test for equality of proportions with continuity correction	two.sided
FADD	11	19	0.2037037037037037	0.24050632911392406	0.08263603460492143	0.773756419431454	1	-0.19529443794350015	0.12168918712305943	2-sample test for equality of proportions with continuity correction	two.sided
FADS1	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
FADS2	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
FADS3	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
FADS6	10	14	0.18518518518518517	0.17721518987341772	4.8014935426967155e-31	0.9999999999999994	1	-0.1335077238368535	0.1494477144603884	2-sample test for equality of proportions with continuity correction	two.sided
FAF1	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.8979471328738741	1	-0.09044682781459515	0.05153449776302458	2-sample test for equality of proportions with continuity correction	two.sided
FAF2	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
FAHD1	4	2	0.07407407407407407	0.02531645569620253	0.8191976508386519	0.3654148583284458	1	-0.044798903078583086	0.14231413983432617	2-sample test for equality of proportions with continuity correction	two.sided
