Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
SYN2	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.44897356643693703	1	-1	0.04262727526989692	2-sample test for equality of proportions with continuity correction	less
SYNC	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
SYNCRIP	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
SYNE1	0	2	0	0.02531645569620253	0.2049395092744693	0.3253815071580146	1	-1	0.01934204791284307	2-sample test for equality of proportions with continuity correction	less
SYNE4	0	3	0	0.0379746835443038	0.7290762078209336	0.19659139472775455	1	-1	0.012985235738759683	2-sample test for equality of proportions with continuity correction	less
SYNGAP1	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
SYNGR2	9	15	0.16666666666666666	0.189873417721519	0.012588088054182748	0.45533374303987	1	-1	0.10295597091264452	2-sample test for equality of proportions with continuity correction	less
SYNGR3	4	2	0.07407407407407407	0.02531645569620253	0.8191976508386519	0.8172925708357771	1	-1	0.12977892425043586	2-sample test for equality of proportions with continuity correction	less
SYNJ1	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.631295014448456	1	-1	0.08703043499848091	2-sample test for equality of proportions with continuity correction	less
SYNJ2	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
SYNM	3	1	0.05555555555555555	0.012658227848101266	0.8200360385161926	0.8174151853855096	1	-1	0.11377464025580272	2-sample test for equality of proportions with continuity correction	less
SYNPO	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
SYNPO2L	3	2	0.05555555555555555	0.02531645569620253	0.19028775858532596	0.6686613867910722	1	-1	0.10476740495592446	2-sample test for equality of proportions with continuity correction	less
SYNRG	10	23	0.18518518518518517	0.2911392405063291	1.4039951732515026	0.11802789607236851	1	-1	0.030580382629211034	2-sample test for equality of proportions with continuity correction	less
SYPL1	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
SYS1	3	2	0.05555555555555555	0.02531645569620253	0.19028775858532596	0.6686613867910722	1	-1	0.10476740495592446	2-sample test for equality of proportions with continuity correction	less
SYT1	1	5	0.018518518518518517	0.06329113924050633	0.6341828909044599	0.21291257023193438	1	-1	0.025046868482344137	2-sample test for equality of proportions with continuity correction	less
SYT10	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
SYT11	6	9	0.1111111111111111	0.11392405063291139	1.7401098597765112e-30	0.4999999999999995	1	-1	0.09168165152982442	2-sample test for equality of proportions with continuity correction	less
SYT12	3	8	0.05555555555555555	0.10126582278481013	0.3836052385933066	0.2678400306472519	1	-1	0.04567872473369862	2-sample test for equality of proportions with continuity correction	less
SYT13	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
SYT14	7	12	0.12962962962962962	0.1518987341772152	0.011691279887482411	0.45694778396510444	1	-1	0.09364278832963516	2-sample test for equality of proportions with continuity correction	less
SYT15	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
SYT17	3	4	0.05555555555555555	0.05063291139240506	1.6588798582280194e-30	0.5000000000000006	1	-1	0.07522944686385527	2-sample test for equality of proportions with continuity correction	less
SYT2	7	12	0.12962962962962962	0.1518987341772152	0.011691279887482411	0.45694778396510444	1	-1	0.09364278832963516	2-sample test for equality of proportions with continuity correction	less
SYT3	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
SYT5	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.631295014448456	1	-1	0.08703043499848091	2-sample test for equality of proportions with continuity correction	less
SYT7	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
SYTL2	2	4	0.037037037037037035	0.05063291139240506	5.2770840222584945e-31	0.4999999999999997	1	-1	0.05859326854950118	2-sample test for equality of proportions with continuity correction	less
SYTL3	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
SYVN1	2	5	0.037037037037037035	0.06329113924050633	0.0731787518883159	0.3933817644404423	1	-1	0.05111853252927642	2-sample test for equality of proportions with continuity correction	less
SZT2	1	4	0.018518518518518517	0.05063291139240506	0.24211909941983112	0.31133988076927654	1	-1	0.03403968102631665	2-sample test for equality of proportions with continuity correction	less
T	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.631295014448456	1	-1	0.08703043499848091	2-sample test for equality of proportions with continuity correction	less
TAAR1	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.4999999999999995	1	-1	0.04190128250144973	2-sample test for equality of proportions with continuity correction	less
TAAR2	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.4999999999999995	1	-1	0.04190128250144973	2-sample test for equality of proportions with continuity correction	less
TAAR3	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.4999999999999995	1	-1	0.04190128250144973	2-sample test for equality of proportions with continuity correction	less
TAAR5	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.4999999999999995	1	-1	0.04190128250144973	2-sample test for equality of proportions with continuity correction	less
TAAR6	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.4999999999999995	1	-1	0.04190128250144973	2-sample test for equality of proportions with continuity correction	less
TAAR8	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.4999999999999995	1	-1	0.04190128250144973	2-sample test for equality of proportions with continuity correction	less
TAAR9	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.4999999999999995	1	-1	0.04190128250144973	2-sample test for equality of proportions with continuity correction	less
TAB2	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.4999999999999995	1	-1	0.04190128250144973	2-sample test for equality of proportions with continuity correction	less
TAC1	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
TAC4	19	28	0.35185185185185186	0.35443037974683544	9.632154230737289e-31	0.4999999999999996	1	-1	0.13878812635250948	2-sample test for equality of proportions with continuity correction	less
TACC1	8	10	0.14814814814814814	0.12658227848101267	0.009793564891253374	0.539415954621534	1	-1	0.1376994203852915	2-sample test for equality of proportions with continuity correction	less
TACC2	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
