mRNA	logFC	FDR	Short	Long	Delta
C20orf186|149954	-2.8989071564068123	0.03453855952810723	8.743589743589743	1.1296296296296295	25.34685488037751
TGM4|7047	2.3065846313024534	0.008502302542609023	10.85897435897436	61.111111111111114	25.04714336811767
PRB1|5542	-5.0702142156523955	0.017797450546185548	4.782051282051282	0.018518518518518517	24.246024390235174
TRPM6|140803	1.8113644260743502	3.0253881970367924e-5	13.384615384615385	49.407407407407405	24.244416164379764
MAGEA8|4107	3.6950627074117492	6.184836202573071e-10	6.5	94.68518518518519	24.01790759817637
RPRML|388394	-2.9315094950796587	0.009539552168551105	8.012820512820513	0.9814814814814815	23.489659415702395
IL13RA2|3598	1.34511640757053	0.004061219356518565	17.166666666666668	42.388888888888886	23.091164996627434
LOC121838|121838	1.6675627679289275	0.005047106141087459	13.64102564102564	48.18518518518518	22.74726647533819
AQP4|361	1.739963698278367	4.6402807642007454e-4	12.884615384615385	42.148148148148145	22.41876303550973
KLRC1|3821	1.0900247384437438	0.04398614858762193	20.346153846153847	50.388888888888886	22.17781102449002
SLC39A12|221074	2.763408574802046	0.00930031797177095	7.781153846153846	40.49888888888889	21.50250726031546
PPY|5539	-4.850714837954981	0.01044200323642423	4.410256410256411	0.037037037037037035	21.39289620841684
CEACAM16|388551	-2.9723198027166053	5.05060963669729e-4	7.17948717948718	0.8888888888888888	21.33973191693973
SHISA7|729956	-1.7109894054385002	0.0017855314498537384	12.423076923076923	3.7777777777777777	21.255752998332138
CNTN6|27255	3.4296802073412946	1.0272438635366201e-7	6.153846153846154	53.7962962962963	21.105724352869508
MYO16|23026	1.1339193497394833	0.005658023920913355	18.23076923076923	40.27777777777778	20.672221991404424
BNC1|646	1.616971619546378	1.412028404376163e-4	12.615384615384615	37.7962962962963	20.39871889273892
MRGPRD|116512	-2.7057121137547018	0.012779134208719393	7.5256410256410255	0.7407407407407407	20.36221808684628
CLEC4F|165530	1.5554808683163013	9.893702174455904e-4	13	45.46296296296296	20.221251288111915
CALN1|83698	2.207776867533347	2.267999843789302e-5	9.14102564102564	39.48148148148148	20.181344955785594
LASS3|204219	2.9952379084502154	1.6317177096817206e-8	6.666666666666667	42.092592592592595	19.968252723001438
KY|339855	1.1606099783290917	0.03203041444193795	17.166666666666668	46.351851851851855	19.923804627982744
POMC|5443	1.097576600177331	0.005249436604641975	18.076923076923077	39.629629629629626	19.840807772436367
UNC13C|440279	-1.4396660755926343	0.049304570343163295	13	5.592592592592593	18.715658982704245
STOML3|161003	-3.0919451816003316	0.003053397620428585	6.038461538461538	0.6296296296296297	18.670592058125077
SCG3|29106	2.399917454307338	1.4594519910729318e-4	7.756410256410256	46.925925925925924	18.614744357127428
NXPH2|11249	4.717696709228638	9.231323494719692e-13	3.9358974358974357	109.0925925925926	18.568370381194764
DUSP26|78986	2.3366606864102235	2.982476230155614e-7	7.935897435897436	38.2962962962963	18.543499549845237
HS3ST4|9951	3.7348117262163374	1.7749923619505507e-7	4.782051282051282	67.5925925925926	17.860061203572997
RHOXF2B|727940	-2.9392152172112618	0.029952874568609986	6.012820512820513	0.5555555555555556	17.672973549642073
PGA3|643834	-2.0273587225704084	0.017818039376610365	8.692307692307692	1.7777777777777777	17.622425819265857
TPTE|7179	3.070622732216571	5.893762286748362e-8	5.735384615384615	30.20888888888889	17.611202378005196
CLDN22|53842	-4.943536087431573	0.01183377481320683	3.556923076923077	0	17.58377759098738
BSND|7809	-2.6608146396325667	0.004894808591673219	6.538461538461538	1.4814814814814814	17.397634182212936
SOX21|11166	-1.6388310968408846	0.030019741597914686	10.525641025641026	3.2222222222222223	17.249747827004697
GLB1L3|112937	4.337973874965206	7.675140768146221e-10	3.9358974358974357	131.74074074074073	17.073820251465616
ARPP21|10777	3.534813717874686	1.6925928707223296e-4	4.82051282051282	77.77777777777777	17.03961484513951
IGSF11|152404	1.2421326375283872	0.012567941853567775	13.615384615384615	28.88888888888889	16.912113603271116
FEV|54738	-3.04302754763701	0.009017201206927098	5.5	0.5	16.736651512003554
LYPD4|147719	4.669288819169301	8.329092611157866e-10	3.4871794871794872	63.22222222222222	16.282648189923716
SNORD115-26|100033802	-3.201822046617819	0.029174258202716286	5.036410256410257	0.5	16.125689394786463
PGA4|643847	-3.9620006366130665	0.04917020482575844	4.0256410256410255	0.09259259259259259	15.949592306365421
CGB8|94115	-3.8934463772708185	0.002594462298446088	4.022692307692307	0.1612962962962963	15.662136792259803
GABRA1|2554	-2.385194877813256	0.04102471773438491	6.205128205128205	0.7777777777777778	14.800440011046359
SLC14A2|8170	2.0715810070327882	3.0725630171300696e-06	6.743589743589744	30.40740740740741	13.969892432041624
MMP27|64066	-1.496827307103338	0.04102471773438491	9.038461538461538	3.462962962962963	13.529016044972478
C1orf189|388701	-2.248347742675826	0.01908000219573269	6	1.8703703703703705	13.490086456054957
PRR18|285800	2.163809268047395	0.0012758037588919253	6.17948717948718	22.796296296296298	13.371231630754416
KCNQ2|3785	4.091227087309575	1.3454762125539275e-5	3.2435897435897436	49.98148148148148	13.270262219093876
LRRN4|164312	-1.186603164794212	0.01880730186761857	10.974358974358974	5.148148148148148	13.02220909056212
CLCA1|1179	-3.4160487679112945	0.009298844863822896	3.7948717948717947	0.2037037037037037	12.963467119253117
FGF21|26291	-4.071741579786389	0.03203041444193795	3.1538461538461537	0.16666666666666666	12.841646520864765
ACTN3|89	4.3138230855252955	4.464107121789128e-15	2.9358974358974357	86.12962962962963	12.664942135708879
GAGE2A|729447	8.262627767471626	0.01237508870720034	1.5228205128205128	278.2864814814815	12.582499054106151
FGF9|2254	1.4345841576773646	0.003342296083959772	8.435897435897436	23.22222222222222	12.102004817329563
APOA5|116519	-1.8720732751868896	0.04419839320277335	6.371794871794871	2.0925925925925926	11.928466894460053
FAM47C|442444	-2.379302504568449	0.043868577456688804	5	0.7592592592592593	11.896512522842244
